#{"t_start": 1763592594.411937, "env_id": "None"}
r,l,t
4958.548685,1289,6.005472
4964.286755,1264,11.624184
1011.822929,527,13.981504
4962.683555,1260,19.610967
1047.838819,535,22.003247
4961.182586,1286,27.78843
4961.455495,1260,33.556092
4958.58213,1287,39.370461
4966.039762,1229,44.935414
3485.919401,1045,52.932854
2384.218273,832,56.7654
4962.798753,1265,62.574838
4963.128223,1258,68.400168
3641.490452,1082,73.434236
2718.517054,956,77.889155
1086.56982,608,80.691689
4965.950273,1244,86.417283
1493.013189,714,89.71297
2870.810756,968,94.1927
3052.225116,980,101.945087
4961.452134,1274,107.813946
3666.731389,1077,112.866865
4961.317436,1274,118.87877
1621.277825,662,121.956665
4104.862508,1216,127.597292
4965.152528,1271,133.5086
4968.417435,1235,139.252712
1057.024114,573,141.94761
3546.534674,1057,150.15499
2733.667843,912,154.437786
4956.557954,1306,160.570345
4957.439998,1284,166.558259
2997.52358,986,171.207185
4965.659509,1243,177.020996
4955.669225,1321,183.136347
2709.986423,963,187.567857
3534.197747,1060,192.497328
2218.248825,848,199.881056
4963.425467,1265,205.885424
4962.850411,1279,212.004054
2519.163002,838,215.940644
4964.806936,1267,221.85639
4951.619151,1340,228.075686
4954.475053,1307,234.182805
4262.062795,1305,240.220297
3965.219864,1288,249.391915
4958.744086,1276,255.403158
4956.361666,1296,261.43102
1289.46391,582,264.121684
4967.599949,1235,269.885536
4954.419362,1304,275.92993
4961.524435,1293,281.919983
4965.916242,1268,287.8192
4057.03443,1264,293.735422
4973.675671,1208,302.593446
2503.361386,948,306.968346
4964.412422,1270,312.799719
4967.163829,1224,318.449925
4967.396235,1234,324.224644
2771.73666,988,328.78487
4960.010965,1292,334.781785
4970.223173,1202,340.331487
4954.777014,1330,349.833497
4965.369245,1265,355.675313
4966.530074,1226,361.332823
4595.089717,1216,366.8989
2237.990394,856,370.821396
4949.189297,1350,377.030375
2069.935313,796,380.676414
4972.890717,1213,386.238976
4960.015244,1288,392.163411
4959.567114,1278,401.321923
2348.457356,785,404.999299
1418.651351,698,408.245671
1686.134018,735,411.601113
4959.473459,1290,417.53163
1807.778835,785,421.147214
4965.089604,1265,426.934596
4967.905719,1234,432.597504
4954.540109,1334,438.695679
3933.602915,1208,447.486599
2696.637335,834,451.319555
4972.988867,1193,456.782209
2873.808082,960,461.169116
4586.046423,1271,466.987838
4970.728323,1225,472.60507
4471.673108,1305,478.593009
3296.168913,1008,483.211562
4961.794415,1288,489.067381
4965.444991,1257,500.357061
4975.195842,1205,505.997669
4972.802179,1210,511.619459
3621.837191,1067,516.583334
4977.062644,1181,522.031494
4962.388059,1261,527.822992
2831.853458,891,532.0922
2620.361446,924,536.548042
4965.831129,1250,542.435591
1680.156694,737,549.462433
4973.444558,1191,555.1823
4958.039178,1291,561.322615
4961.772478,1260,567.28153
1778.161426,666,570.420051
4969.592286,1236,576.163604
4955.498616,1298,582.255787
4963.122052,1273,588.242773
1691.983285,738,591.773067
3258.445623,994,599.819519
3711.495256,1169,605.302772
3817.217139,1067,610.337208
4958.30512,1279,616.276969
3380.242152,1215,621.923166
3758.580775,1076,626.924523
4305.089431,1117,632.238931
4969.669376,1242,637.981213
1419.174175,664,641.055699
4963.246445,1280,650.204568
4547.938495,1170,655.631329
1098.658557,570,658.261918
4020.227115,1177,663.720853
4973.449642,1198,669.271423
4963.025396,1278,675.173937
4949.764264,1351,681.402709
4962.345888,1258,687.194877
2883.928477,990,691.779978
4976.230234,1161,700.359387
4961.043294,1263,706.162136
1315.007916,624,709.037162
4095.777889,1224,714.702807
4973.785692,1212,720.356715
1358.17319,655,723.38555
4127.763991,1149,728.67155
4972.295222,1203,734.208156
1188.529899,572,736.847051
4960.722712,1268,742.749138
4977.854837,1170,751.545128
4977.066411,1192,757.060192
4973.122609,1202,762.638288
4970.700714,1233,768.371618
4971.127943,1222,774.090174
4973.927915,1183,779.555794
4964.890479,1236,785.406259
4963.568085,1263,791.355791
4969.365507,1205,800.165108
4974.786741,1196,805.750902
4979.069683,1176,811.189741
4975.959832,1187,816.71244
4976.605176,1195,822.231974
3907.059269,1092,827.29409
4974.472171,1212,832.880045
2198.526985,748,836.358039
1207.568844,594,839.110163
